pm10,pm2_5,so2,co,o3,no2
16.2,0.0,7.6,18.2,1.0,11.0
10.4,0.0,7.5,16.0,1.0,11.0
10.7,0.0,8.6,16.5,1.0,10.5
19.3,0.0,8.5,18.9,0.8,10.0
0.0,0.0,0.4,14.4,0.0,6.4
0.0,0.0,9.1,8.0,0.0,6.0
0.0,0.0,29.4,8.3,0.0,7.5
0.0,0.0,18.7,15.2,0.0,10.3
0.0,0.0,16.7,18.3,0.0,11.5
0.0,0.0,13.3,17.3,0.0,11.8
0.0,0.0,12.5,20.3,0.0,10.8
5.5,0.0,14.5,22.2,0.0,12.3
23.8,0.0,18.5,23.5,0.0,12.6
28.1,0.0,10.2,19.9,0.0,12.3
32.8,0.0,14.9,22.9,0.0,13.5
33.3,0.0,14.5,21.9,0.6,13.7
24.8,0.0,15.1,21.8,2.8,13.7
28.8,0.0,8.3,18.5,5.6,12.7
25.1,1.6,9.9,19.3,7.8,13.8
10.7,13.4,13.1,21.1,5.7,13.3
8.4,14.3,6.5,18.1,5.2,10.4
8.7,15.1,4.3,16.1,3.3,10.5
7.7,13.3,4.6,15.1,4.7,10.1
10.3,19.2,4.0,15.1,7.5,9.5
14.3,27.7,4.8,18.0,7.8,9.8
15.8,30.5,9.2,22.2,3.2,11.1
13.6,27.1,7.6,19.6,2.9,11.3
18.0,36.9,5.5,19.4,2.0,10.9
24.3,50.1,5.3,19.1,2.7,12.8
16.7,34.3,6.5,18.3,2.4,12.0
28.3,53.7,5.5,20.2,1.9,11.1
10.0,22.7,13.9,22.3,24.3,7.4
8.5,33.8,21.8,21.7,20.8,3.1
9.7,46.1,18.1,20.6,21.8,2.2
11.9,54.3,22.7,23.8,19.8,4.0
9.2,45.1,23.0,22.3,18.8,3.9
10.4,48.4,17.8,20.6,20.9,2.4
11.3,50.5,23.9,24.3,15.4,2.0
7.4,31.3,12.1,17.3,20.5,2.0
5.8,23.8,11.2,16.0,23.9,2.0
4.5,18.1,11.9,17.4,25.0,2.0
6.9,26.3,14.6,19.3,22.5,2.0
9.9,39.2,16.9,20.1,18.7,2.0
6.8,29.3,14.5,16.7,18.1,2.0
5.3,19.2,9.1,14.1,22.0,1.9
4.0,13.0,9.6,15.7,23.2,1.8
5.2,19.3,15.5,19.1,19.7,2.0
7.0,29.3,16.2,20.5,15.9,2.0
4.9,17.3,12.7,16.8,17.1,1.6
3.1,10.6,14.8,16.8,17.3,1.5
5.2,21.0,23.9,22.4,11.2,2.0
5.4,21.0,18.5,19.8,13.3,1.8
4.0,13.2,16.8,19.3,15.9,2.0
4.9,18.8,20.3,21.5,14.5,2.0
8.0,34.9,23.2,24.9,12.0,2.0
10.3,43.3,24.3,23.8,10.6,2.3
11.8,48.7,21.0,21.5,9.9,2.8
6.1,22.5,18.4,19.1,11.5,2.0
5.8,23.2,25.3,23.5,10.5,2.0
8.0,35.8,22.6,24.3,10.0,2.6
4.8,19.6,13.2,16.8,13.3,2.0
4.1,16.6,13.6,16.3,14.4,2.3
7.8,36.0,27.5,26.2,7.8,3.0
8.2,37.5,19.0,22.4,8.4,2.7
9.2,42.8,17.8,21.2,8.9,2.4
9.3,43.5,27.6,27.0,6.3,3.0
13.2,56.4,29.5,28.7,5.8,3.5
8.5,39.3,17.5,20.5,8.5,2.8
12.5,53.5,21.2,22.9,7.4,3.0
10.6,47.7,20.4,24.0,7.0,3.0
14.1,65.1,24.0,25.3,5.4,3.0
9.1,53.8,22.2,24.1,7.1,2.0
8.0,46.7,15.3,20.0,9.6,2.6
7.1,46.0,21.5,24.6,7.8,2.6
8.8,54.1,28.4,27.2,5.3,2.0
6.0,36.3,20.0,21.5,8.3,2.0
4.3,23.6,14.8,18.9,11.1,2.0
4.0,20.3,15.8,19.1,10.7,2.0
5.5,33.3,20.5,21.9,7.3,2.0
5.9,37.6,21.9,22.3,4.8,2.1
5.8,38.1,21.2,20.5,3.5,2.0
7.8,49.5,25.5,23.1,2.4,2.1
7.5,49.3,39.3,30.1,1.4,2.0
9.0,53.9,22.6,23.9,2.9,2.0
11.5,57.8,20.0,23.1,4.3,2.9
11.8,58.3,14.9,20.8,7.0,2.3
13.6,63.0,13.6,20.0,9.0,2.3
15.7,68.5,17.1,21.5,7.4,3.2
16.9,71.7,32.5,29.3,3.7,3.5
12.5,60.9,24.0,22.9,3.0,3.3
9.9,53.9,22.6,23.0,3.0,3.4
10.0,54.3,17.3,21.1,4.9,2.0
9.0,52.0,17.0,21.0,6.0,2.0
14.7,64.9,27.6,27.6,3.0,3.0
13.8,63.6,25.3,25.6,3.0,3.0
9.0,49.0,26.2,25.2,2.8,3.0
15.3,62.6,25.6,24.8,2.3,3.0
38.1,76.3,39.1,33.1,1.5,3.0
36.6,69.6,25.1,24.5,2.1,3.0
36.6,69.9,22.2,25.1,2.6,3.0
29.1,61.8,21.0,23.3,2.4,3.0
29.4,61.7,28.2,26.4,2.0,3.8
25.2,57.2,20.9,23.2,3.0,2.1
23.6,55.7,14.6,19.4,3.0,2.3
15.0,40.4,12.6,17.2,3.8,2.4
20.8,51.8,13.2,19.3,3.1,2.2
28.7,60.9,22.0,26.3,1.5,3.0
25.3,57.1,28.7,29.7,1.0,2.6
21.5,53.3,24.6,24.9,1.0,3.0
21.5,53.4,23.8,23.7,1.0,2.9
23.5,55.3,26.7,27.1,1.0,3.0
38.5,71.5,24.0,25.3,1.0,3.0
27.1,59.3,16.4,20.0,1.5,2.9
16.6,45.0,11.9,18.2,3.0,2.0
13.8,37.3,12.4,19.8,2.6,2.0
19.5,51.6,15.5,19.4,2.7,2.0
22.0,54.4,23.9,17.7,7.5,2.0
19.2,51.5,25.4,17.2,7.4,1.8
27.0,64.2,32.2,23.4,3.3,2.3
20.8,56.2,18.9,22.5,1.3,4.5
17.5,52.3,0.4,22.3,0.0,4.6
13.3,42.5,0.0,18.5,0.3,2.5
15.7,49.5,0.0,19.5,1.0,3.0
23.8,60.7,0.0,24.0,1.0,4.0
35.6,75.6,0.0,24.2,1.5,3.3
24.5,61.2,0.0,23.0,2.0,3.7
28.8,67.0,0.0,25.3,1.1,4.6
14.0,42.6,0.0,22.2,1.1,3.4
16.7,49.0,0.0,22.5,0.1,0.4
27.5,65.9,0.0,22.9,0.0,0.1
30.2,69.0,0.0,24.3,1.3,1.0
30.7,69.8,0.0,23.5,6.7,1.8
15.1,43.3,0.0,17.8,13.8,2.2
16.1,49.5,0.0,24.9,9.0,3.0
10.9,34.1,0.0,21.2,7.2,3.0
17.8,51.8,0.0,29.6,3.3,3.0
18.0,53.0,0.0,22.3,2.0,3.0
27.3,65.8,0.0,25.2,1.8,3.9
31.7,71.3,0.0,28.7,1.3,3.0
41.4,83.6,0.0,26.1,2.8,4.5
19.2,55.0,0.0,23.1,3.4,4.6
36.2,76.8,0.0,24.2,4.0,3.6
36.3,77.0,0.0,24.5,5.0,4.5
25.5,63.1,0.0,23.7,2.4,4.8
23.3,60.4,0.0,24.6,0.2,4.9
23.0,60.0,0.0,25.2,0.0,3.7
29.1,68.0,0.0,30.6,0.0,3.8
35.0,75.0,0.0,22.2,0.0,3.0
29.5,68.4,0.0,25.5,0.0,3.0
20.5,56.6,0.0,23.0,0.0,3.3
20.1,56.0,0.0,24.2,0.0,4.0
25.3,62.5,0.0,22.4,0.0,3.8
25.0,61.7,0.0,23.9,0.0,3.3
18.2,56.9,1.7,19.5,0.0,3.4
13.3,68.5,9.3,20.8,0.0,3.0
19.1,23.2,9.3,19.0,0.0,4.0
22.4,27.0,8.9,19.7,0.0,3.7
24.7,29.1,13.4,22.0,0.0,4.2
17.7,21.9,12.3,20.1,0.0,4.0
10.2,13.4,6.4,16.6,0.0,2.8
17.3,20.5,7.9,19.8,0.0,4.0
19.4,23.9,8.6,19.9,0.0,4.2
28.1,35.0,14.1,22.5,0.0,4.8
21.7,25.8,10.6,20.8,0.0,3.2
17.8,22.0,8.0,18.4,0.0,3.0
30.2,36.3,12.3,20.7,0.0,3.8
46.3,52.1,5.4,24.4,0.0,4.5
42.8,71.8,0.0,23.3,0.0,4.3
21.2,54.5,0.0,21.9,0.0,4.0
10.4,30.1,0.0,18.0,0.0,3.8
12.1,34.8,0.0,17.8,0.0,3.5
19.7,52.9,0.0,18.2,0.0,3.3
34.5,70.0,0.0,22.5,0.0,4.0
31.5,66.4,0.0,23.2,0.0,3.4
26.2,60.6,0.0,20.8,0.0,3.3
24.0,57.9,0.0,21.9,0.0,4.0
22.7,56.5,0.0,19.6,0.0,3.0
26.0,60.1,0.0,22.0,0.0,3.8
21.5,54.9,0.0,19.9,0.0,3.8
28.7,63.5,0.0,20.4,0.0,4.0
21.0,54.6,0.0,19.9,0.0,4.0
32.7,68.0,0.0,22.1,0.0,3.3
25.9,60.0,0.0,20.1,0.0,4.0
20.3,53.5,0.0,19.9,0.0,4.6
21.5,54.8,0.0,20.8,0.0,3.5
13.0,36.7,0.0,15.3,0.0,3.0
14.9,43.1,0.0,17.7,0.0,4.0
22.0,55.4,0.0,20.3,0.0,4.3
36.3,71.9,0.0,22.4,0.0,5.0
37.6,73.2,0.0,23.0,0.0,4.7
42.4,79.0,0.0,23.8,0.0,4.7
39.5,75.4,0.0,20.4,0.0,4.0
34.9,70.3,0.0,18.9,0.0,4.5
50.1,88.9,0.0,22.6,0.0,5.1
45.2,82.2,0.0,22.3,0.0,6.0
42.3,78.7,0.0,23.2,0.0,4.8
24.5,57.6,0.0,18.8,0.0,3.2
17.0,49.3,0.0,18.1,0.0,3.0
17.1,48.7,0.0,19.0,0.0,3.0
8.8,25.6,0.0,15.6,0.0,2.4
12.4,35.9,0.0,18.4,0.0,3.0
11.2,33.1,6.7,16.9,0.0,2.2
14.8,43.2,9.8,18.9,0.0,3.0
15.4,45.3,10.6,19.7,0.0,3.0
18.5,51.8,3.7,18.7,0.0,3.0
19.7,53.3,0.0,20.0,0.0,3.3
32.0,67.8,0.0,24.0,0.0,4.0
35.3,71.5,0.0,24.9,0.0,3.2
20.3,53.2,0.0,21.4,0.0,3.3
13.2,38.2,0.1,17.6,0.0,3.5
16.8,48.3,1.9,18.8,0.0,4.0
16.8,49.0,0.0,17.5,0.0,3.0
19.4,52.6,0.0,16.4,0.0,3.7
26.1,60.3,0.0,19.6,0.0,4.0
22.9,56.7,0.0,20.5,0.0,4.1
25.0,59.5,0.0,21.0,0.0,5.0
18.3,49.5,0.5,19.2,0.0,5.4
23.1,58.2,7.1,19.4,0.7,5.5
19.3,53.0,17.3,17.9,17.0,3.0
22.0,56.4,14.7,13.8,22.8,3.0
20.4,54.4,11.5,10.8,26.8,2.7
16.4,49.0,11.5,12.0,25.3,2.4
18.5,52.3,12.0,12.1,25.5,2.5
21.2,55.2,14.4,13.5,27.9,3.0
25.4,60.1,14.0,14.9,22.0,2.3
19.3,52.7,7.0,8.7,13.1,0.0
21.9,55.8,19.5,15.5,8.4,0.0
19.6,52.8,20.8,12.3,6.5,0.0
13.2,39.0,21.4,9.1,6.0,0.0
27.8,63.0,31.3,12.0,6.2,0.0
19.7,53.5,29.6,6.3,9.8,0.3
17.1,52.8,4.8,11.9,12.6,2.7
16.0,43.5,0.0,9.0,26.5,2.1
16.0,35.2,5.2,9.8,29.5,2.3
16.0,54.7,28.1,16.2,27.3,3.4
16.0,48.4,17.1,7.5,19.9,2.0
16.0,40.6,0.3,0.2,0.4,0.0
15.8,33.5,0.5,0.5,1.0,0.0
14.2,43.7,0.5,0.5,1.0,0.0
14.0,37.6,0.0,0.0,0.0,0.0
14.5,40.1,3.8,2.5,4.8,0.7
13.9,40.9,21.8,13.2,25.8,3.4
11.5,33.4,16.4,7.9,29.3,2.1
12.2,35.7,13.1,6.9,30.8,2.0
12.1,35.0,15.3,10.0,29.3,2.1
15.0,44.0,15.2,11.3,27.3,3.0
13.7,39.9,14.2,9.5,27.0,2.3
12.7,45.7,12.8,9.9,21.5,2.8
11.0,40.9,1.0,1.0,1.4,0.3
11.0,39.4,0.0,0.0,0.0,0.0
9.6,22.1,3.1,2.0,3.0,0.5
2.1,2.2,17.5,12.8,20.1,2.8
1.0,0.0,19.5,15.1,21.1,2.9
1.0,0.0,20.3,14.2,20.7,2.0
1.6,0.0,17.5,13.9,17.9,1.9
10.2,36.3,44.3,10.8,24.1,13.5
7.6,28.1,25.4,11.1,15.4,28.6
11.1,41.4,28.2,17.5,18.6,30.0
6.5,25.0,21.8,13.4,20.4,27.1
8.6,32.4,32.5,26.9,15.5,27.1
13.2,48.2,29.3,22.1,20.8,28.3
13.1,47.1,26.6,19.1,21.5,29.0
13.5,47.2,32.3,25.8,19.3,29.4
17.0,54.1,31.6,25.4,17.5,29.8
18.4,56.0,26.2,24.6,15.0,32.8
24.5,64.2,36.8,33.4,20.7,34.5
19.2,56.7,25.5,23.4,26.1,35.1
22.1,61.0,25.2,23.9,28.4,36.5
17.8,55.5,25.0,22.3,25.5,34.5
14.1,49.9,24.5,20.6,23.0,33.0
11.3,40.2,10.7,11.5,11.9,30.8
14.9,50.3,21.4,22.5,23.8,33.9
13.8,49.9,24.6,24.6,22.1,34.0
10.6,41.6,21.0,18.7,23.5,33.9
14.4,51.0,29.0,25.9,20.3,32.6
14.3,50.0,21.8,19.1,23.9,32.0
16.8,54.0,23.5,20.5,22.7,31.4
21.6,60.6,23.4,21.1,21.9,32.5
26.4,67.2,24.2,21.3,1.2,40.3
27.4,68.5,17.8,16.3,3.3,41.3
